1083	1563	850	2736	1338	3056	565	2057	664	1646	689	2260	742	2852	509	2758	1900	3339	1149	3062	1245	2965	673	2721	684	2072	414	2306	488	2384	440	2257	890	3505	644	4412	159	2152	384	3805	110	1698	77	2216	138	4481	18	592	565	2555	308	2889	181	1970	309	3436	106	2007	54	2285	139	3489	27	512	8680	11396	10062	21714	3383	4971	8038	17081	6252	9584	3201	9305	2673	6741	2958	15054	13274	19778	6762	13378	9058	13534	8029	21226	4873	8851	6169	25984	6314	20377	303	1483
1341	1534	2119	2719	2276	3031	1428	2028	1236	1634	1558	2253	1750	2811	1692	2734	2776	3317	2197	3027	2122	2927	2025	2697	1387	2032	1456	2286	1372	2339	1339	2232	2580	3473	2891	4376	1038	2100	1143	3757	653	1665	666	2172	819	4416	125	576	1829	2514	1654	2857	970	1939	1358	3387	801	1974	591	2255	674	3442	53	501	10891	11350	18444	21589	4379	4930	14908	16955	8921	9517	7948	9246	5428	6710	9222	14935	18165	19678	10979	13306	11690	13442	14419	21057	7916	8806	17393	25780	15282	20161	721	1445
4949	5575	3886	4639	7099	9005	6297	8563	5532	7087	6587	8580	5807	8284	6565	9696	4713	5336	3745	4800	3735	4653	3787	4652	3974	5047	4952	6679	3906	5622	4321	6179	6351	8175	5837	9481	4927	8909	3074	8533	4080	8534	3247	8399	2488	10301	750	4470	4070	5317	3335	5994	3156	5764	2426	5723	3060	6208	2978	6458	1677	6018	948	3603	38930	40980	42113	47207	26603	29571	66826	77396	46942	51062	40117	45708	31110	38783	40144	61236	54087	58101	46570	54407	46722	53804	62343	78954	41348	46068	67512	87105	42369	54087	9076	17876
4831	5588	4354	4641	7533	9017	6444	8575	5896	7098	6456	8588	6215	8292	6974	9708	4637	5336	3653	4808	3890	4664	3657	4658	4246	5047	4903	6683	4287	5630	4694	6184	6088	8185	4666	9492	5181	8924	3431	8540	4402	8547	3199	8407	3397	10312	976	4480	3680	5325	2743	6002	3218	5765	1867	5723	3442	6221	2417	6462	2210	6023	908	3603	38012	41017	36757	47237	26430	29609	59135	77462	44694	51099	34191	45742	28440	38825	36450	61293	49807	58149	40108	54438	45768	53859	52692	78993	36134	46106	54044	87168	34336	54140	8771	17915
1864	1938	3020	3130	1847	1927	1668	1751	1851	2015	2048	2381	1867	2327	1708	2154	2639	2838	2623	2779	1652	1739	1491	1717	2259	2462	2350	2631	1836	2373	1386	1800	2044	2186	2754	3044	2106	2656	2044	2660	1226	1764	1544	2169	436	1857	75	381	2345	2538	2619	2870	1616	2156	2193	2643	1533	2242	1364	2227	407	1940	100	338	19761	20414	26449	27749	13074	13717	34677	37246	19572	20188	23718	24722	19941	21660	30770	33195	18364	20176	16395	17700	25602	26642	34118	35797	19631	20495	34486	35532	25900	28013	8576	9676
1922	1944	3108	3144	1900	1935	1742	1763	1987	2026	2256	2393	2226	2336	2012	2170	2778	2846	2738	2793	1687	1743	1664	1725	2391	2472	2611	2640	2181	2384	1667	1808	2146	2192	2945	3056	2402	2667	2216	2672	1548	1770	1690	2177	687	1866	100	386	2463	2544	2781	2883	1939	2176	2234	2652	1933	2247	1552	2235	683	1951	107	342	19943	20481	26513	27834	13530	13769	36664	37350	19822	20260	24054	24797	21252	21751	32634	33302	19615	20244	17402	17762	26249	26716	34867	35923	20248	20586	34734	35627	27485	28112	9630	9722
1948	2013	2965	3200	1898	2004	1628	1853	1963	2116	2147	2500	2085	2454	1709	2282	2752	2901	2736	2855	1684	1782	1605	1777	2340	2536	2378	2685	2013	2467	1383	1877	2124	2274	2865	3163	2113	2797	2004	2806	1279	1886	1523	2318	472	1997	94	458	2422	2595	2767	2957	1645	2256	2049	2701	1612	2341	1385	2289	452	2030	80	396	19435	20898	27269	28325	13580	14217	34842	38050	19641	20743	23849	25421	20423	22423	31013	33987	20115	20657	17568	18241	26095	27379	34350	36667	20784	21104	33363	36120	27161	28667	9026	10188
1954	2020	3031	3210	1912	2005	1808	1856	2006	2122	2374	2509	2264	2458	2080	2290	2747	2904	2740	2863	1661	1782	1735	1782	2441	2543	2641	2692	2240	2473	1741	1879	2182	2280	3002	3164	2485	2811	2399	2822	1599	1876	1909	2317	942	2007	135	470	2474	2602	2878	2961	2042	2264	2274	2709	2012	2350	1785	2291	1001	2032	164	399	20349	20938	27625	28354	13871	14244	35550	38107	20376	20766	24272	25479	21499	22481	32728	34064	19951	20692	17420	18265	25568	27434	33814	36715	20628	21148	34566	36156	26980	28708	9711	10253
1966	2021	3022	3207	1886	1997	1755	1855	1995	2120	2304	2504	2204	2447	1996	2287	2791	2904	2648	2862	1682	1783	1670	1781	2316	2542	2576	2694	2220	2473	1556	1878	2119	2275	2951	3162	2500	2808	2343	2825	1597	1875	1854	2314	866	2009	133	468	2446	2601	2888	2961	2070	2265	2230	2707	2084	2349	1789	2293	908	2032	121	398	19855	20935	24728	28362	13710	14238	37183	38113	19827	20770	24678	25488	21917	22486	32460	34068	19510	20689	16939	18255	26083	27429	34909	36706	20554	21155	34178	36147	27639	28706	9848	10260
3483	3773	5844	6327	4550	4848	4084	4672	3547	3930	4032	5200	3712	4814	3385	5191	5107	5353	4991	5381	4007	4387	3891	4336	4019	4530	4092	5021	3538	4848	2660	3996	4676	5186	6183	7028	3619	5341	3856	6263	2066	4050	2537	5083	846	5254	153	1344	4632	5095	4895	5549	2859	4342	3421	5659	2411	4347	2154	4779	749	4796	166	1107	31505	33289	39165	41539	20413	21303	50743	54270	31695	33232	32567	36833	28857	31731	41010	47448	32945	35068	31085	33064	38759	40194	47238	52172	31520	33963	60416	65183	38491	45634	10671	13092
